GID_0,COUNTRY,NAME_1,TYPE_1,ENGTYPE_1
NGA,Nigeria,Abia,State,State
NGA,Nigeria,Adamawa,State,State
NGA,Nigeria,Akwa Ibom,State,State
NGA,Nigeria,Anambra,State,State
NGA,Nigeria,Bauchi,State,State
NGA,Nigeria,Bayelsa,State,State
NGA,Nigeria,Benue,State,State
NGA,Nigeria,Borno,State,State
NGA,Nigeria,Cross River,State,State
NGA,Nigeria,Delta,State,State
NGA,Nigeria,Ebonyi,State,State
NGA,Nigeria,Edo,State,State
NGA,Nigeria,Ekiti,State,State
NGA,Nigeria,Enugu,State,State
NGA,Nigeria,Federal Capital Territory,State,State
NGA,Nigeria,Gombe,State,State
NGA,Nigeria,Imo,State,State
NGA,Nigeria,Jigawa,State,State
NGA,Nigeria,Kaduna,State,State
NGA,Nigeria,Kano,State,State
NGA,Nigeria,Katsina,State,State
NGA,Nigeria,Kebbi,State,State
NGA,Nigeria,Kogi,State,State
NGA,Nigeria,Kwara,State,State
NGA,Nigeria,Lagos,State,State
NGA,Nigeria,Nasarawa,State,State
NGA,Nigeria,Niger,State,State
NGA,Nigeria,Ogun,State,State
NGA,Nigeria,Ondo,State,State
NGA,Nigeria,Osun,State,State
NGA,Nigeria,Oyo,State,State
NGA,Nigeria,Plateau,State,State
NGA,Nigeria,Rivers,State,State
NGA,Nigeria,Sokoto,State,State
NGA,Nigeria,Taraba,State,State
NGA,Nigeria,Yobe,State,State
NGA,Nigeria,Zamfara,State,State
