original_i,id,lat,lon
{coal-mining},"1","2848205","7836696"
{oil-and-gas-refining},"2","2856846","7472230"
{oil-and-gas-refining},"3","3435997","8558054"
{oil-and-gas-refining},"4","3525135","7896129"
{oil-and-gas-refining},"5","3170835","8648035"
{oil-and-gas-refining},"6","3493767","8343767"
{oil-and-gas-refining},"7","3969014","8134446"
{oil-and-gas-refining},"8","2928380","9580156"
{coal-mining},"9","2713770","9688503"
{coal-mining},"10","2711364","9689794"
{coal-mining},"11","2729017","9689857"
{coal-mining},"12","2714791","9692621"
{coal-mining},"13","2710825","9692756"
{coal-mining},"14","2703217","9694353"
{coal-mining},"15","2710266","9694454"
{coal-mining},"16","2712237","9697492"
{coal-mining},"17","2709883","9700298"
{coal-mining},"18","2712725","9702874"
{coal-mining},"19","2711017","9702911"
{coal-mining},"20","2711037","9704095"
{coal-mining},"21","2707872","9704351"
{coal-mining},"22","2707867","9704394"
{coal-mining},"23","2710863","9705267"
{coal-mining},"24","2710243","9705535"
{coal-mining},"25","2711341","9705734"
{coal-mining},"26","2708120","9706502"
{coal-mining},"27","2711372","9706830"
{coal-mining},"28","2713597","9707412"
{coal-mining},"29","2708848","9707471"
{coal-mining},"30","2712827","9707607"
{coal-mining},"31","2711984","9707830"
{coal-mining},"32","2710808","9708073"
{coal-mining},"33","2709767","9709582"
{coal-mining},"34","2715463","9709705"
{coal-mining},"35","2720149","9710234"
{coal-mining},"36","2719861","9710733"
{coal-mining},"37","2711935","9711138"
{coal-mining},"38","2686940","9711422"
{coal-mining},"39","2718527","9712845"
{coal-mining},"40","2716599","9713068"
{coal-mining},"41","2710606","9713462"
{coal-mining},"42","2704816","9705659"
{coal-mining},"43","2708975","9704750"
{coal-mining},"44","2709986","9705111"
{coal-mining},"45","2710792","9699272"
{coal-mining},"46","2714731","9715530"
{coal-mining},"47","2683404","9716537"
{coal-mining},"48","2714363","9716770"
{coal-mining},"49","2712679","9719655"
{coal-mining},"50","2718256","9719750"
{coal-mining},"51","2717724","9723759"
{oil-and-gas-refining},"52","2517026","9807729"
{oil-and-gas-refining},"53","2713053","10068047"
{coal-mining},"54","2943115","9903051"
{coal-mining},"55","2712184","9715411"
{coal-mining},"56","2880413","9724181"
{coal-mining},"57","2723707","9666529"
{coal-mining},"58","2725263","9667407"
{coal-mining},"59","2715460","9668599"
{coal-mining},"60","2715107","9669166"
{coal-mining},"61","2716104","9670914"
{coal-mining},"62","2725371","9671178"
{coal-mining},"63","2716238","9672573"
{coal-mining},"64","2715107","9672584"
{coal-mining},"65","2717453","9674632"
{coal-mining},"66","2715691","9675322"
{coal-mining},"67","2727806","9675356"
{coal-mining},"68","2727435","9679263"
{coal-mining},"69","2727584","9682413"
{coal-mining},"70","2720484","9684086"
{coal-mining},"71","2730918","9684206"
{coal-mining},"72","2729664","9687638"
{coal-mining},"73","2768568","9210853"
{coal-mining},"74","2769477","9207725"
{coal-mining},"75","2771490","9211421"
{coal-mining},"76","2774247","9212378"
