GID_1,GID_0,COUNTRY,NAME_1,TYPE_1,ENGTYPE_1,ISO_1
IND.5_1,IND,India,Bihar,State,State,IN-BR
IND.6_1,IND,India,Chandigarh,Union Territor,Union Territory,IN-CH
IND.12_1,IND,India,Haryana,State,State,IN-HR
IND.15_1,IND,India,Jharkhand,State,State,IN-JH
IND.25_1,IND,India,NCT of Delhi,Union Territor,Union Territory,NA
IND.28_1,IND,India,Punjab,State,State,IN-PB
IND.29_1,IND,India,Rajasthan,State,State,IN-RJ
IND.34_1,IND,India,Uttar Pradesh,State,State,IN-UP
IND.35_1,IND,India,Uttarakhand,State,State,IN-UT
IND.36_1,IND,India,West Bengal,State,State,IN-WB
